Name,Price
English Cucumber,$1.99
Green Onion,$1.99
Farmer's Market Yellow Onions,$3.99
Tomato On The Vine Red (1 Bunch),$4.68
Celery Stalks,$3.99
Broccoli,$3.99
Lettuce Iceberg,$3.99
Red Peppers,$2.11
Cauliflower,$4.99
"Romaine Heart, 3 Pack",$5.99
Roma Tomatoes,$0.66
Farmer's Market Carrots,$3.99
Sweet Potato,$2.77
Tomato Beefsteak  Red,$1.47
Farmer's Market English Cucumber 3Ct,$4.99
Zucchini,$1.85
Ginger,$2.31
Sweet Green Peppers,$2.46
Red Onion,$2.19
Broccoli Crowns,$2.92
No Name Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,$7.99
"Rooster Garlic Bulbs, 3-count",$1.49
"Pumpkin, Large",$5.99
Farmer's Market Yellow Potato 10lb Bag,$6.99
Colossal Garlic,$2.20
Farmer's Market White Potatoes,$6.49
Farmer's Market Mini Carrots,$2.69
Farmer's Market Grape Tomatoes,$4.99
Sweet Onion,$2.53
Romaine Lettuce,$3.29
Farmer's Market Russet Potatoes,$6.99
"Cabbage, Green",$4.77
Asparagus,$10.39
Farmer's Market Mini Cucumbers,$3.99
Farmer's Market Grape Tomato 907G,$6.99
Butternut Squash,$7.07
"Farmer's Market Mini Carrots, 2 lb",$5.29
Green Leaf Lettuce,$2.99
"Farmer's Market Red Onions, 3 lb Bag",$5.99
White Onion,$2.19
PC Organics White Mushrooms,$3.49
"Greenhouse Peppers, Orange",$2.11
Kale,$3.99
PC Organics Organics Portobello Mushroom Caps,$5.99
Heirloom Tomatoes,$3.03
Radishes,$1.99
Radicchio Lettuce,$3.41
Organic French Beans,$6.49
PC Organics Organic White Stuffer Mushrooms,$6.49
PC Organics Organic Red Potatoes,$5.99
President's Choice Poblano Hot Peppers,$5.99
PC Organics Organics Whole Shitake Mushrooms,$4.99
Bean Sprouts,$2.49
Red Potatoes,$1.43
Long Eggplants (1Pack),$14.36
PC Organics Organic Mushroom Umami Mix,$4.99
Tomato Sugar Bomb,$7.99
Red Cabbage,$4.36
LoBok (Daikon Radish),$3.51
Japanese Yams,$6.26
President's Choice Mixed Little Gems,$3.99
Carnival Squash,$8.96
Potato Baking Tray,$5.49
PC Organics Organic Tomato On The Vine Red (1 Bunch),$8.71
Cremini Mushrooms,$0.36
PC Organics Organic Mini Mix Potatoes 454G,$4.99
Okra (1 pack),$5.08
The Little Potato Company Oven BBQ Ready Onion Chive Potatoes,$4.99
President's Choice Red Thai Hot Peppers,$5.99
President's Choice Axiany Cherry Tomatoes,$7.99
Celery Hearts,$5.49
Carrots,$0.71
Buttercup Squash,$6.70
PC Organics Organic Cauliflower,$6.49
Dandelion Greens,$3.99
"Spinach, Bunched",$2.99
White Asparagus,$7.93
PC Organics Shredded Coloured Carrots,$2.99
Chinese Bitter Melon,$2.42
President's Choice Green Thai Hot Peppers,$5.99
Dried Porcini Mushrooms,$5.99
Bok Choy,$2.98
"Potato White/Russet Small, 3lb",$1.99
"Tiger Halloween Pumpkins, 3 Pack",$6.99
Jicama,$5.87
PC Organics Organics Sliced Portobello Mushrooms,$5.99
White Yams,$6.61
Russet Potato,$2.36
"Mucci, Sundrops Tomato",$3.99
Organic English Cucumber,$3.99
Pie Pumpkin,$1.25
Pearl Onion,$3.79
"Painted Halloween Pumpkin, Baby Boo",$3.99
Long Beans,$0.50
Organic Carrots Bunched,$3.99
The Little Potato Company Microwave Ready Lemon and Garden Herb Potatoes,$4.99
President's Choice Jalapeno Hot Peppers,$5.99
Turnips,$2.50
PC Organics Sliced and Whole Bistro Blend Mushrooms,$6.99
President's Choice Yellow Mini Potatoes,$3.99
Organic Acorn Squash,$5.16
PC Organics Organics Multicolour Carrots,$5.99
Escarole,$2.99
Organic Leeks,$5.99
French Bean,$8.99
Farmer's Market Sweet Potatoes,$7.99
Organic Iceberg Lettuce,$3.99
Manns Snap Peas,$5.99
"PC Organics Organic Russet Potatoes, 3 lb bag",$5.99
PC Organics Organics Baby Cut Carrots 2 lb bag,$6.99
"Sweet Onions, 3 lb Bag",$6.99
Collard Greens,$3.99
Manns Snap Peas,$8.99
Organic Green Dandelion,$4.99
Green Swiss Chard,$3.99
Baby Napa,$7.69
Brussels Sprouts,$4.99
Radish,$2.99
Endive,$5.99
PC Organics Organics Broccoli,$5.99
Broccolini,$3.99
Organic Green Kale,$3.99
Baby Bok Choy,$4.35
Romaine Hearts,$9.99
PC Organics Organic Green Onions,$2.29
Farmer's Market Mixed Peppers (6 Pack),$8.99
Vero Tomato,$6.99
Cubanelle Peppers,$1.87
Red Leaf Lettuce,$2.99
Green Garlic,$5.49
Yellow Oyster Mushroom,$8.99
