Name,Price
Longo's Natural Spring Water Single 24 x 500 ml (bottles),$4.99
Longo's Organic Juice Lemonade 946 ml,$3.29
Longo's Sparkling Spring Water 1 L (bottle),$1.49
Longo's Curato Carbonated Mineral Water 750 ml,$1.49
Longo's Sparkling Water Lime 1 L (bottle),$1.49
Longo's Organic Lemonade Watermelon 946 ml,$3.29
Longo's Sparkling Water Lemon 1 L (bottle),$1.49
Longo's Organic Kombucha Lively Lemongrass Lime 340 ml (bottle),$3.49
Longo's Curato Lemon Soda Water 750 ml,$2.99
Longo's Fresh Apple Cider 2 L,$5.99
Longo's Apple Cider Tart Cherry 2 L,$5.99
Longo's Coffee Pods Colombian 12 EA,$8.99
Longo's All Butter Croissants 12 Pack 650 g,$6.99
Longo's All Butter Croissants 6 Pack 300 g,$4.99
Longo's Mini All Butter Croissant 10 Pack,$4.99
Longo's Baguette Roll Plain 6 Pack,$4.99
Longo's Garlic Rolls 405 g (frozen),$3.99
Longo's Scones Blueberry 6 Pack 330 g,$5.99
Longo's Cheese Scones 6 Pack 330 g,$5.99
Longo's Bagels Poppyseed 6 Pack 680 g,$5.49
Longo's Original Tandoori Style Naan 500 g (frozen),$2.99
Longo's Naan Minis 200 g (frozen),$3.99
Longo's Ciabatta Cluster Buns 12 Pack 140 g,$3.99
Longo's Chocolate Croissants Mini 10 Pack 250 g,$4.99
Longo's Whole Wheat English Muffins 342 g,$2.99
Longo's Tortilla Whole Wheat 610 g,$4.69
Longo's Quiche Broccoli And Cheddar 210 g,$6.49
Longo's Original English Muffins 342 g,$2.99
Longo's Cinnamon Danish Butterhorns With Icing 390 g,$5.99
Longo's Mini Danish Raspberry 1 EA,$3.99
Longo's Danish Cherry 4 Pack,$5.99
Longo's Mini Cheese Danish 220 g,$3.99
Longo's Flour Tortilla 610 g,$4.69
Longo's Nut-Free Vegan Muffins Carrot Mini 252 g (frozen),$4.99
Longo's Bagel Pumpernickel 6 Pack,$5.99
Longo's Bake Your Own Butter Croissant 210 g (frozen),$5.99
Longo's Nut-Free Vegan Muffins Banana Chocolate Chip Mini 252 g (Frozen),$4.99
Longo's Plant Based Cookies Chocolate Chip 8 x 42 g,$5.99
Longo's Danish Lemon 4 Pack,$5.99
Longo's Corn Bread 400 g,$4.49
Longo's Croissants Cheddar Cheese Mini 10 Pack,$4.99
Longo's Pie Half Strawberry Rhubarb 450 g,$6.99
Longo's Mini Apple Danish 220 g,$3.99
Longo's Plant Based Cookies Oatmeal Raisin 8 x 42 g,$5.99
Longo's Naan Buns 480 g (frozen),$4.99
Longo's Donuts Apple Fritters 4 Pack,$7.99
Longo's Pie Half Apple 450 g,$6.99
Longo's Cambozola Blue Veined Cheese,$10.04typically
Arla Havarti Danish Cheese,$12.87typically
