Province,Date,Value
Newfoundland and Labrador,1/1/1990,57.7
Prince Edward Island,1/1/1990,54.6
Nova Scotia,1/1/1990,..
New Brunswick,1/1/1990,..
Quebec,1/1/1990,58.3
Quebec,1/1/1990,59
Ottawa-Gatineau,1/1/1990,56
Ontario,1/1/1990,48.5
Ontario,1/1/1990,56.4
Manitoba,1/1/1990,51.8
Saskatchewan,1/1/1990,51
Saskatchewan,1/1/1990,55.2
Alberta,1/1/1990,48.3
Alberta,1/1/1990,47.9
British Columbia,1/1/1990,57.6
British Columbia,1/1/1990,55
Yukon,1/1/1990,57
Northwest Territories,1/1/1990,58.9
Newfoundland and Labrador,2/1/1990,58.2
Prince Edward Island,2/1/1990,54.8
Nova Scotia,2/1/1990,..
New Brunswick,2/1/1990,..
Quebec,2/1/1990,58.9
Quebec,2/1/1990,59
Ottawa-Gatineau,2/1/1990,56.2
Ontario,2/1/1990,50.8
Ontario,2/1/1990,56.5
Manitoba,2/1/1990,51.8
Saskatchewan,2/1/1990,51
Saskatchewan,2/1/1990,55.2
Alberta,2/1/1990,48.4
Alberta,2/1/1990,48.9
British Columbia,2/1/1990,58.7
British Columbia,2/1/1990,56.7
Yukon,2/1/1990,57.4
Northwest Territories,2/1/1990,59.2
Newfoundland and Labrador,3/1/1990,58.5
Prince Edward Island,3/1/1990,55
Nova Scotia,3/1/1990,..
New Brunswick,3/1/1990,..
Quebec,3/1/1990,59.5
Quebec,3/1/1990,59.7
Ottawa-Gatineau,3/1/1990,56.3
Ontario,3/1/1990,53.1
Ontario,3/1/1990,56.5
Manitoba,3/1/1990,52.8
Saskatchewan,3/1/1990,54.9
Saskatchewan,3/1/1990,55.2
Alberta,3/1/1990,48.9
Alberta,3/1/1990,49.7
British Columbia,3/1/1990,58.7
British Columbia,3/1/1990,56.7
Yukon,3/1/1990,57.6
Northwest Territories,3/1/1990,59.6
Newfoundland and Labrador,4/1/1990,59.3
Prince Edward Island,4/1/1990,56.4
Nova Scotia,4/1/1990,..
New Brunswick,4/1/1990,..
Quebec,4/1/1990,60.3
Quebec,4/1/1990,60.5
Ottawa-Gatineau,4/1/1990,56.5
Ontario,4/1/1990,51.7
Ontario,4/1/1990,58.5
Manitoba,4/1/1990,51.9
Saskatchewan,4/1/1990,54.9
Saskatchewan,4/1/1990,55.2
Alberta,4/1/1990,51.1
Alberta,4/1/1990,51.9
British Columbia,4/1/1990,59.9
British Columbia,4/1/1990,57.9
Yukon,4/1/1990,58
Northwest Territories,4/1/1990,60
Newfoundland and Labrador,5/1/1990,59.8
Prince Edward Island,5/1/1990,56.8
Nova Scotia,5/1/1990,..
New Brunswick,5/1/1990,..
Quebec,5/1/1990,60.4
Quebec,5/1/1990,60.7
Ottawa-Gatineau,5/1/1990,56.5
Ontario,5/1/1990,53.9
Ontario,5/1/1990,58.4
Manitoba,5/1/1990,53.2
Saskatchewan,5/1/1990,54.9
Saskatchewan,5/1/1990,55.2
Alberta,5/1/1990,52.9
Alberta,5/1/1990,51.9
British Columbia,5/1/1990,59.9
British Columbia,5/1/1990,58.5
Yukon,5/1/1990,57.9
Northwest Territories,5/1/1990,60.4
Newfoundland and Labrador,6/1/1990,59.7
Prince Edward Island,6/1/1990,57.4
Nova Scotia,6/1/1990,..
New Brunswick,6/1/1990,..
Quebec,6/1/1990,61.5
Quebec,6/1/1990,61.5
Ottawa-Gatineau,6/1/1990,56.9
Ontario,6/1/1990,55.2
Ontario,6/1/1990,57.9
Manitoba,6/1/1990,53.1
Saskatchewan,6/1/1990,54.9
Saskatchewan,6/1/1990,55.2
Alberta,6/1/1990,52.9
Alberta,6/1/1990,53.4
British Columbia,6/1/1990,59.9
British Columbia,6/1/1990,58.5
Yukon,6/1/1990,57.9
Northwest Territories,6/1/1990,60.4
Newfoundland and Labrador,7/1/1990,59.5
Prince Edward Island,7/1/1990,58.5
Nova Scotia,7/1/1990,..
New Brunswick,7/1/1990,..
Quebec,7/1/1990,61.3
Quebec,7/1/1990,61.7
Ottawa-Gatineau,7/1/1990,57.4
Ontario,7/1/1990,55.9
Ontario,7/1/1990,57.7
Manitoba,7/1/1990,49.9
Saskatchewan,7/1/1990,55.9
Saskatchewan,7/1/1990,56.1
Alberta,7/1/1990,52.8
Alberta,7/1/1990,53
British Columbia,7/1/1990,60.3
British Columbia,7/1/1990,58.8
Yukon,7/1/1990,57.9
Northwest Territories,7/1/1990,61.6
Newfoundland and Labrador,8/1/1990,59.6
Prince Edward Island,8/1/1990,58.6
Nova Scotia,8/1/1990,..
New Brunswick,8/1/1990,..
Quebec,8/1/1990,61.4
Quebec,8/1/1990,61.7
Ottawa-Gatineau,8/1/1990,57.3
Ontario,8/1/1990,55.9
Ontario,8/1/1990,57.7
Manitoba,8/1/1990,53.9
Saskatchewan,8/1/1990,54.7
Saskatchewan,8/1/1990,56.2
Alberta,8/1/1990,52.9
Alberta,8/1/1990,53.4
British Columbia,8/1/1990,60.4
British Columbia,8/1/1990,59.1
Yukon,8/1/1990,57.9
Northwest Territories,8/1/1990,61.7
Newfoundland and Labrador,9/1/1990,61.4
Prince Edward Island,9/1/1990,58.6
Nova Scotia,9/1/1990,..
New Brunswick,9/1/1990,..
Quebec,9/1/1990,62.6
Quebec,9/1/1990,62.9
Ottawa-Gatineau,9/1/1990,58.7
Ontario,9/1/1990,56.5
Ontario,9/1/1990,59
Manitoba,9/1/1990,55.4
Saskatchewan,9/1/1990,54.1
Saskatchewan,9/1/1990,57.7
Alberta,9/1/1990,54.4
Alberta,9/1/1990,54.9
British Columbia,9/1/1990,61.3
British Columbia,9/1/1990,61.3
Yukon,9/1/1990,59.1
Northwest Territories,9/1/1990,63.1
Newfoundland and Labrador,10/1/1990,65.9
Prince Edward Island,10/1/1990,58.7
Nova Scotia,10/1/1990,..
New Brunswick,10/1/1990,..
Quebec,10/1/1990,66.7
Quebec,10/1/1990,67.2
Ottawa-Gatineau,10/1/1990,62.7
Ontario,10/1/1990,60.1
Ontario,10/1/1990,62.8
Manitoba,10/1/1990,61.9
Saskatchewan,10/1/1990,58.7
Saskatchewan,10/1/1990,63.7
Alberta,10/1/1990,60.7
Alberta,10/1/1990,61.4
British Columbia,10/1/1990,64.9
British Columbia,10/1/1990,63.5
Yukon,10/1/1990,64.4
Northwest Territories,10/1/1990,70.2
Newfoundland and Labrador,11/1/1990,67.3
Prince Edward Island,11/1/1990,58.7
Nova Scotia,11/1/1990,..
New Brunswick,11/1/1990,..
Quebec,11/1/1990,67.8
Quebec,11/1/1990,68.8
Ottawa-Gatineau,11/1/1990,65.9
Ontario,11/1/1990,64.3
Ontario,11/1/1990,66.6
Manitoba,11/1/1990,63.4
Saskatchewan,11/1/1990,53.4
Saskatchewan,11/1/1990,63.5
Alberta,11/1/1990,62.2
Alberta,11/1/1990,62.8
British Columbia,11/1/1990,69.9
British Columbia,11/1/1990,67.5
Yukon,11/1/1990,66.3
Northwest Territories,11/1/1990,72.8
Newfoundland and Labrador,12/1/1990,70.7
Prince Edward Island,12/1/1990,65.3
Nova Scotia,12/1/1990,..
New Brunswick,12/1/1990,..
Quebec,12/1/1990,70.6
Quebec,12/1/1990,70.8
Ottawa-Gatineau,12/1/1990,65.9
Ontario,12/1/1990,62.1
Ontario,12/1/1990,66.2
Manitoba,12/1/1990,64.8
Saskatchewan,12/1/1990,57.9
Saskatchewan,12/1/1990,67.1
Alberta,12/1/1990,58.2
Alberta,12/1/1990,60.6
British Columbia,12/1/1990,65.9
British Columbia,12/1/1990,67.5
Yukon,12/1/1990,66.9
Northwest Territories,12/1/1990,74.3
Newfoundland and Labrador,1/1/1991,73.5
Prince Edward Island,1/1/1991,72.5
Nova Scotia,1/1/1991,..
New Brunswick,1/1/1991,..
Quebec,1/1/1991,72.3
Quebec,1/1/1991,72.3
Ottawa-Gatineau,1/1/1991,66.3
Ontario,1/1/1991,56.3
Ontario,1/1/1991,65.8
Manitoba,1/1/1991,64.4
Saskatchewan,1/1/1991,55.3
Saskatchewan,1/1/1991,67.7
Alberta,1/1/1991,63.4
Alberta,1/1/1991,63.5
British Columbia,1/1/1991,67.4
British Columbia,1/1/1991,69.3
Yukon,1/1/1991,70.4
Northwest Territories,1/1/1991,76.6
Newfoundland and Labrador,2/1/1991,69.1
Prince Edward Island,2/1/1991,71.7
Nova Scotia,2/1/1991,..
New Brunswick,2/1/1991,..
Quebec,2/1/1991,67.4
Quebec,2/1/1991,67.2
Ottawa-Gatineau,2/1/1991,62.5
Ontario,2/1/1991,51.7
Ontario,2/1/1991,62.5
Manitoba,2/1/1991,56.9
Saskatchewan,2/1/1991,46.1
Saskatchewan,2/1/1991,57.3
Alberta,2/1/1991,43.3
Alberta,2/1/1991,44.9
British Columbia,2/1/1991,61.8
British Columbia,2/1/1991,65.9
Yukon,2/1/1991,68.2
Northwest Territories,2/1/1991,75.6
Newfoundland and Labrador,3/1/1991,64.8
Prince Edward Island,3/1/1991,68
Nova Scotia,3/1/1991,..
New Brunswick,3/1/1991,..
Quebec,3/1/1991,63.4
Quebec,3/1/1991,63.1
Ottawa-Gatineau,3/1/1991,58.6
Ontario,3/1/1991,52.5
Ontario,3/1/1991,59.4
Manitoba,3/1/1991,51
Saskatchewan,3/1/1991,44.8
Saskatchewan,3/1/1991,51.8
Alberta,3/1/1991,46.3
Alberta,3/1/1991,45.5
British Columbia,3/1/1991,55
British Columbia,3/1/1991,59.3
Yukon,3/1/1991,63.8
Northwest Territories,3/1/1991,72.8
Newfoundland and Labrador,4/1/1991,61.9
Prince Edward Island,4/1/1991,64
Nova Scotia,4/1/1991,..
New Brunswick,4/1/1991,..
Quebec,4/1/1991,61.7
Quebec,4/1/1991,61.8
Ottawa-Gatineau,4/1/1991,55.6
Ontario,4/1/1991,50.2
Ontario,4/1/1991,56.8
Manitoba,4/1/1991,48.3
Saskatchewan,4/1/1991,44.9
Saskatchewan,4/1/1991,49.2
Alberta,4/1/1991,43.7
Alberta,4/1/1991,42.8
British Columbia,4/1/1991,54.6
British Columbia,4/1/1991,56.4
Yukon,4/1/1991,61.3
Northwest Territories,4/1/1991,65.7
Newfoundland and Labrador,5/1/1991,61.8
Prince Edward Island,5/1/1991,60.8
Nova Scotia,5/1/1991,..
New Brunswick,5/1/1991,..
Quebec,5/1/1991,62.1
Quebec,5/1/1991,61.9
Ottawa-Gatineau,5/1/1991,57.2
Ontario,5/1/1991,54.4
Ontario,5/1/1991,57.2
Manitoba,5/1/1991,50.3
Saskatchewan,5/1/1991,48.5
Saskatchewan,5/1/1991,52.4
Alberta,5/1/1991,51.1
Alberta,5/1/1991,49.3
British Columbia,5/1/1991,57.9
British Columbia,5/1/1991,56.4
Yukon,5/1/1991,60.5
Northwest Territories,5/1/1991,64.3
Newfoundland and Labrador,6/1/1991,61.8
Prince Edward Island,6/1/1991,60.4
Nova Scotia,6/1/1991,..
New Brunswick,6/1/1991,..
Quebec,6/1/1991,63.2
Quebec,6/1/1991,63
Ottawa-Gatineau,6/1/1991,58.8
Ontario,6/1/1991,57.4
Ontario,6/1/1991,58
Manitoba,6/1/1991,48.2
Saskatchewan,6/1/1991,39.5
Saskatchewan,6/1/1991,43.9
Alberta,6/1/1991,47.9
Alberta,6/1/1991,48.8
British Columbia,6/1/1991,54.7
British Columbia,6/1/1991,56.4
Yukon,6/1/1991,60.3
Northwest Territories,6/1/1991,64.1
Newfoundland and Labrador,7/1/1991,61.8
Prince Edward Island,7/1/1991,59.6
Nova Scotia,7/1/1991,..
New Brunswick,7/1/1991,..
Quebec,7/1/1991,63.2
Quebec,7/1/1991,63
Ottawa-Gatineau,7/1/1991,59.9
Ontario,7/1/1991,56.9
Ontario,7/1/1991,58
Manitoba,7/1/1991,53.9
Saskatchewan,7/1/1991,52.6
Saskatchewan,7/1/1991,53.8
Alberta,7/1/1991,52.3
Alberta,7/1/1991,52.9
British Columbia,7/1/1991,55.8
British Columbia,7/1/1991,54.5
Yukon,7/1/1991,60.3
Northwest Territories,7/1/1991,62.2
Newfoundland and Labrador,8/1/1991,61.9
Prince Edward Island,8/1/1991,59.5
Nova Scotia,8/1/1991,..
New Brunswick,8/1/1991,..
Quebec,8/1/1991,63.5
Quebec,8/1/1991,63.5
Ottawa-Gatineau,8/1/1991,59.8
Ontario,8/1/1991,54.9
Ontario,8/1/1991,57.4
Manitoba,8/1/1991,54.6
Saskatchewan,8/1/1991,50.2
Saskatchewan,8/1/1991,53.3
Alberta,8/1/1991,53.8
Alberta,8/1/1991,54.1
British Columbia,8/1/1991,58.6
British Columbia,8/1/1991,55.1
Yukon,8/1/1991,60.1
Northwest Territories,8/1/1991,62.3
Newfoundland and Labrador,9/1/1991,61.8
Prince Edward Island,9/1/1991,60.2
Nova Scotia,9/1/1991,..
New Brunswick,9/1/1991,..
Quebec,9/1/1991,66
Quebec,9/1/1991,66.3
Ottawa-Gatineau,9/1/1991,59.4
Ontario,9/1/1991,55.6
Ontario,9/1/1991,58.2
Manitoba,9/1/1991,53.8
Saskatchewan,9/1/1991,44.4
Saskatchewan,9/1/1991,50.2
Alberta,9/1/1991,51.1
Alberta,9/1/1991,54.9
British Columbia,9/1/1991,59.2
British Columbia,9/1/1991,56.8
Yukon,9/1/1991,60.1
Northwest Territories,9/1/1991,61.5
Newfoundland and Labrador,10/1/1991,61.8
Prince Edward Island,10/1/1991,61.1
Nova Scotia,10/1/1991,..
New Brunswick,10/1/1991,..
Quebec,10/1/1991,66
Quebec,10/1/1991,66.3
Ottawa-Gatineau,10/1/1991,58.9
Ontario,10/1/1991,51.4
Ontario,10/1/1991,58.2
Manitoba,10/1/1991,46.8
Saskatchewan,10/1/1991,47.4
Saskatchewan,10/1/1991,48.1
Alberta,10/1/1991,50.3
Alberta,10/1/1991,50.9
British Columbia,10/1/1991,58.2
British Columbia,10/1/1991,56.8
Yukon,10/1/1991,60.1
