Geography,Date,Value
Canada,1/1/2001,"12,918,423"
Newfoundland and Labrador,1/1/2001,"175,886"
Prince Edward Island,1/1/2001,"56,409"
Nova Scotia,1/1/2001,"372,356"
New Brunswick,1/1/2001,"297,327"
Quebec,1/1/2001,"3,089,642"
Ontario,1/1/2001,"4,998,952"
Manitoba,1/1/2001,"493,660"
Saskatchewan,1/1/2001,"375,599"
Alberta,1/1/2001,"1,391,061"
British Columbia,1/1/2001,"1,618,193"
Yukon,1/1/2001,"14,766"
Northwest Territories,1/1/2001,"22,562"
Nunavut,1/1/2001,"12,011"
Canada,2/1/2001,"13,006,694"
Newfoundland and Labrador,2/1/2001,"176,532"
Prince Edward Island,2/1/2001,"57,099"
Nova Scotia,2/1/2001,"372,176"
New Brunswick,2/1/2001,"297,514"
Quebec,2/1/2001,"3,092,154"
Ontario,2/1/2001,"5,067,057"
Manitoba,2/1/2001,"497,511"
Saskatchewan,2/1/2001,"375,966"
Alberta,2/1/2001,"1,398,803"
British Columbia,2/1/2001,"1,622,079"
Yukon,2/1/2001,"14,681"
Northwest Territories,2/1/2001,"23,066"
Nunavut,2/1/2001,"12,055"
Canada,3/1/2001,"12,963,994"
Newfoundland and Labrador,3/1/2001,"175,342"
Prince Edward Island,3/1/2001,"57,946"
Nova Scotia,3/1/2001,"373,030"
New Brunswick,3/1/2001,"297,723"
Quebec,3/1/2001,"3,060,291"
Ontario,3/1/2001,"5,058,128"
Manitoba,3/1/2001,"493,286"
Saskatchewan,3/1/2001,"374,679"
Alberta,3/1/2001,"1,403,679"
British Columbia,3/1/2001,"1,620,379"
Yukon,3/1/2001,"14,728"
Northwest Territories,3/1/2001,"22,589"
Nunavut,3/1/2001,"12,194"
Canada,4/1/2001,"12,974,466"
Newfoundland and Labrador,4/1/2001,"176,673"
Prince Edward Island,4/1/2001,"56,249"
Nova Scotia,4/1/2001,"373,876"
New Brunswick,4/1/2001,"296,733"
Quebec,4/1/2001,"3,067,166"
Ontario,4/1/2001,"5,056,723"
Manitoba,4/1/2001,"493,531"
Saskatchewan,4/1/2001,"374,427"
Alberta,4/1/2001,"1,413,020"
British Columbia,4/1/2001,"1,616,642"
