Name,Price
English Cucumber,$1.49
Green Onion,$1.49
Farmer's Market Yellow Onions,$2.99
Celery Stalks,$3.99
Lettuce Iceberg,$2.99
Broccoli,$2.99
Farmer's Market Sweet Baby Peppers (4-Pack),$4.99
Cauliflower,$3.99
Red Peppers,$2.11
Roma Tomatoes,$0.53
Farmer's Market Carrots,$2.99
Tomato Beefsteak  Red,$1.77
Sweet Potato,$2.07
Farmer's Market English Cucumber 3Ct,$3.99
Zucchini,$1.54
Ginger,$1.38
Red Onion,$2.03
Sweet Green Peppers,$1.85
No Name Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,$5.99
Broccoli Crowns,$2.09
President's Choice Whole White Mushrooms,$2.49
Farmer's Market Yellow Potato 10lb Bag,$6.99
Farmer's Market Grape Tomatoes,$3.49
Sweet Onion,$2.53
Romaine Lettuce,$2.49
"Cabbage, Green",$1.81
Farmer's Market Russet Potatoes,$5.99
Farmer's Market Mini Cucumbers,$3.99
Farmer's Market Grape Tomato 907G,$5.99
Butternut Squash,$5.28
Farmer's Market Red Onions,$4.99
White Onion,$2.03
Buttercup Squash,$5.01
Red Cabbage,$2.90
No Name Sweet Potato,$4.99
Bean Sprouts,$1.99
Potato Baking Tray,$4.99
No Name Naturally Imperfect English Cucumber 3lb Bag,$5.99
President's Choice Yellow Mini Potatoes,$3.99
Bok Choy,$1.74
Radish,$2.49
Baby Bok Choy,$3.62
Romaine Hearts,$7.99
"Garlic, Peeled",$2.99
Spanish Onion,$1.81
Shanghai Bok Choy,$3.23
Farmer's Market Red Potatoes 10lb Bag,$6.99
White Jumbo Potatoes (50Lb Case),$26.99
Snow Peas,$2.99
White Jumbo Potatoes (50Lb Case),$26.99
President's Choice Portobello Mushroom Caps,$4.99
"Peeled Garlic, 3 lb Bag",$5.99
Jalapeno Peppers,$0.44
No Name Naturally Imperfect White Mushrooms,$4.99
Rutabaga,$2.40
PC Organics Organic Carrots,$2.99
Chinese Napa Cabbage,$2.44
Farmer's Market Red Onions,$8.99
Farmer's Market Sweet Corn,$4.99
President's Choice Whole Cremini Mushrooms,$4.99
Purple Eggplants,$3.13
Red Beets,$2.49
Spaghetti Squash,$4.13
Leeks,$3.99
No Name Carrots,$2.99
Baby Spinach,$5.20
President's Choice Ruby Little Gems Potatoes,$3.99
No Name Brown Mushrooms,$4.99
"Bananas, Bunch",$1.49
Strawberries 1LB,$4.99
Lemon,$0.79
PC Extra Large Red Seedless Grapes,$8.69
Raspberry Pint,$7.99
"PC Organics Organic Bananas, Bunch",$2.40
Limes,$0.79
Strawberries 2LB,$8.99
Pineapple,$3.99
Bartlett Pears,$1.38
Blueberries 1 pint,$6.99
Navel Orange,$1.38
Blueberries 1/2 pint,$4.99
Cantaloupe,$3.99
Honeycrisp Apples,$1.32
Royal Gala Apples,$0.83
Farmer's Market Navel Oranges,$5.79
Granny Smith Apples,$1.10
Avocado,$2.49
Farmer's Market Gala Apples,$6.99
Farmer's Market McIntosh Apples,$6.99
"No Name Imperfect Apples, Bag",$6.99
Red Delicious Apples,$0.83
No Name Naturally Imperfect Limes,$4.49
Farmer's Market Golden Delicious Apples,$6.99
Golden Delicious Apples,$0.87
No Name Naturally Imperfect Avocados,$6.99
Pineapple,$4.99
Fresh Kiwi Fruit,$4.99
Honeydew Melon,$5.99
Farmer's Market Granny Smith Apples,$7.99
Farmer's Market Spartan Apples,$6.99
President's Choice Coleslaw,$2.99
President's Choice Baby Spinach,$5.99
President's Choice Arugula,$3.99
President's Choice Spring Mix,$5.99
President's Choice Garden Salad,$3.99
President's Choice Mixed Greens,$3.99
Popeye Select Spinach,$8.99
Ziggy's Macaroni Salad,$15.99
Ziggy's Creamy Potato Salad,$15.99
"GFS Iceberg Lettuce, Shredded",$8.99
President's Choice Chopped Romaine,$6.99
Ziggy's Oil & Vinegar Coleslaw Salad,$13.99
Ziggy's Potato Egg Salad,$15.99
Ziggy's Creamy Green Coleslaw Salad,$13.49
"GFS Iceberg Lettuce, Shredded",$8.99
President's Choice Broccoli Florets,$7.99
Cilantro,$1.49
Italian Parsley,$1.99
Curly Parsley,$1.99
"Fresh Dill, Baby",$2.49
President's Choice Thyme,$2.49
President's Choice Rosemary,$2.49
President's Choice Chives,$2.49
President's Choice Mint,$2.49
President's Choice Sage,$2.49
PC Organics Organic Rosemary,$2.49
President's Choice Oregano,$2.49
No Name Roasted Peanuts In Shell,$11.99
POM Wonderful 100% Pomegranate Juice,$12.99
No Name Salted Butter,$5.49
No Name Unsalted Butter,$5.49
I Can't Believe It's Not Butter! Margarine Spread,$3.49
Becel Margarine Original,$8.99
Gay Lea Salted Butter,$7.19
Becel Margarine with Olive Oil,$8.99
Becel Margarine Original,$4.99
Becel Margarine Vegan,$8.99
Gay Lea Unsalted Butter,$7.19
Becel Margarine with Olive Oil,$4.99
Imperial 55% Vegetable Oil Margarine Non Hydrogenated,$6.99
Gay Lea Spreadables Butter With Canola Oil,$6.49
Imperial Margarine Club Pack,$8.99
Becel Margarine Vegan,$4.99
Becel Buttery Taste Margarine,$8.79
President's Choice Plant Based Butter Alternative Salted,$3.59
"Becel Plant Butter, Salted",$5.99
President's Choice Plant Based Butter Alternative Unsalted,$3.59
COUNTRY CROCK Original Spread,$3.99
No Name 75% Vegetable Oil Margarine,$2.79
Sunspun Salted Whipped Butter Round Mini Cups,$30.99
Lactantia Butter Cups,$15.99
"Gay Lea Butter, Salted",$4.99
"Neilson Butter, Salted",$6.79
"Neilson Butter, Unsalted",$6.79
