Name,Price
English Cucumber,$1.69
Green Onion,$1.69
Farmer's Market Yellow Onions,$3.99
Tomato On The Vine Red (1 Bunch),$3.90
Celery Stalks,$3.69
Broccoli,$3.99
Lettuce Iceberg,$3.49
Red Peppers,$2.11
Cauliflower,$5.99
"Romaine Heart, 3 Pack",$4.99
Roma Tomatoes,$0.66
Farmer's Market Carrots,$3.99
Sweet Potato,$2.77
Tomato Beefsteak  Red,$1.47
Farmer's Market English Cucumber 3Ct,$4.99
Zucchini,$1.85
Ginger,$2.08
Sweet Green Peppers,$2.46
Red Onion,$2.03
Broccoli Crowns,$3.34
No Name Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,$7.99
"Rooster Garlic Bulbs, 3-count",$1.49
"Pumpkin, Large",$2.99
Farmer's Market Yellow Potato 10lb Bag,$6.99
Colossal Garlic,$1.98
Farmer's Market White Potatoes,$5.99
Farmer's Market Mini Carrots,$2.49
Farmer's Market Grape Tomatoes,$3.99
Sweet Onion,$2.53
Romaine Lettuce,$2.99
Farmer's Market Russet Potatoes,$6.99
"Cabbage, Green",$4.77
Asparagus,$5.19
Farmer's Market Mini Cucumbers,$3.99
Farmer's Market Grape Tomato 907G,$5.99
Butternut Squash,$7.07
"Farmer's Market Mini Carrots, 2 lb",$4.99
Green Leaf Lettuce,$2.99
"Farmer's Market Red Onions, 3 lb Bag",$3.99
White Onion,$2.03
PC Organics White Mushrooms,$3.49
"Greenhouse Peppers, Orange",$2.11
Kale,$3.49
PC Organics Organic White Stuffer Mushrooms,$5.99
PC Organics Organic Mushroom Umami Mix,$4.99
PC Organics Organic Grape Tomatoes,$4.99
Red Potatoes,$1.43
Radishes,$1.99
"Sunrise Tofu, Extra Firm",$3.79
Manns Snap Peas,$5.99
Baby Bok Choy,$4.35
Manns Snap Peas,$8.99
Aroy D Canned Coconut Milk,$2.99
Papaya,$5.71
Rooster Coconut Milk,$1.79
Indomie Instant Mi Goreng Fried Noodles,$3.99
Snap Peas,$4.49
Shanghai Bok Choy,$4.22
Yellow Asian Pears,$2.11
Fuyu Persimmon,$1.49
"Chinese Carrots, Jumbo",$3.26
Snow Peas,$4.49
White Pummelos,$3.99
Fuji Apples,$1.58
Chinese Napa Cabbage,$3.18
Rooster Instant Noodles,$1.99
Bean Sprouts,$2.49
Dan D Pak Cashews Sea Salt,$9.99
Japanese Yams,$6.26
"Sunrise Tofu, Medium Firm",$2.99
T&T Korean Roasted Seaweed Laver,$1.49
China Lily Soy Sauce,$3.49
LoBok (Daikon Radish),$3.09
Dragon Fruit,$4.99
Kosa Coconut Milk Can,$2.29
"Dan D Pak Cashews, Salted",$17.99
President's Choice Udon Noodles,$3.49
Baby Bok Choy Jr,$5.15
Uni Eagle Sriracha Hot Chilli Sauce,$5.49
Lee Kum Kee Hoisin Squeeze Sauce,$3.29
Rooster Vermicelli Longkou Pancit Sotanghon,$1.99
Rooster Thai Hom Mali Scented Jasmine Rice,$5.99
Shanghai Bok Choy Jr.,$3.95
QP Kewpie Mayonnaise,$7.49
Lee Kum Kee Panda Brand Oyster Sauce,$3.99
"Dan D Pak Cashews, Unsalted",$17.99
Kikkoman Soy Sauce,$6.99
"Nong Shim Shin Brand Cup Noodle, Oolongmen Shin",$1.59
"Sunrise Tofu, Soft",$2.59
Rooster Kongmoon Rice Stick Vermicelli,$2.59
Flying Goose Sriracha Hot Chili Sauce Original,$5.49
Rooster Sweetened Condensed Milk,$2.99
Dan D Pak Cashews Unsalted,$9.99
"Mama Oriental Style Instant Noodles, Shrimp",$0.79
Yu Jia Xiang Fried Dace With Salted Black Beans,$3.99
"Chicken Livers, Tray Pack",$3.69
"Marukome Instant Miso Soup, Tofu",$3.49
