Item_1,Item_2,Item_3,Item_4,Item_5
"President's Choice Candied Salmon, Maple Flavour",,,,
T&T Green Onion Pancakes,,,,
Ziggy's Cooked Turkey,Schneider Frozen Pork Schnitzel Cutlets,PC Black Label Milk Chocolate Couverture,,
Stonewall Kitchen Rosemary Olive Flatbread Crisp,,,,
President's Choice Thyme Leaves,Christie Amazing Dad's Organic BBQ Sauce,Pillsbury Grands! Cinnamon Rolls Flaky Supreme with Icing,Pizzeria Libretto Funghi,
Organic Brussel Sprouts,,,,
Glad Garbage Bags White Unscented Tall 45 L 30 Bags,"General Mills Lucky Charms Breakfast Cereal with Marshmallows, Family Size, Whole Grains",,,
"Activia Yogurt With Probiotics Lactose-Free, Vanilla Flavour",,,,
PC Organics Organic Edamame Shelled,President's Choice Free From Chicken Pot Pies,Chivers Preserve Ginger,,
No Name Condensed Cream Of Mushroom Soup,Twinings Herbal Tea Goodnight Blend,"Butterball Frozen Turkey, 3-5 Kg",,
Starbucks Caramel Flavoured Ground Coffee Bag,Arizona Premium Brewed Ginseng and Honey Green Tea,,,
Gay Lea Grass Fed Salted Butter,Pillers Smoked Sausage Original Knackwurst,,,
No Name Herb and Spice Sour Cream Dip,Alexis Portneuf Soft Surface Ripened Blue-Veined Cheese 37% M.F.,"No Name Salami, Sliced",PC Blue Menu Chickpeas,No Name Naturally Imperfect Sliced Strawberries
Tetley Super Green Tea Antiox Tropical With Vitamin C,,,,
Allen's Strawberry Banana Cocktail,"Kicking Horse Organic Fairtrade Dark Roast Whole Bean Coffee, Decaf",Ben & Jerry's Salted Caramel Almond Ice Cream,President's Choice Free From Black Forest Ham,True North Red Crab Wild-Caught
"Kraft BBQ Sauce, Original","Hellmanns Real Mayonnaise ideal with fries, burgers and salads","Kelloggs Special K Fruit Crisps, Strawberry Flavour, 10 Bars",Dion Ground Mexican Chillies,Farm Boy Black Bean Dip Spicy 265 g
Ziggy's Sliced Turkey Pepperoni,,,,
Club House Imitation Coconut Extract,Cesar Wet Dog Food Classic Chicken & Liver Loaf In Sauce 100 g,,,
"President's Choice Pacific White Shrimp Raw Peeled, Large",,,,
Kind Healthy Grains™ Dark Chocolate Chunk Bar,Longo's Chocolate Croissants Mini 10 Pack 250 g,,,
Longo's Frozen Meatballs Beef 900 g,Marvid Poultry Kosher Whole Cut Up Chicken,,,
President's Choice Peanuts Dry Roasted & Lightly Seasoned,President's Choice Free From Angus Beef Meatball,,,
No Name Garlic Powder Club Size,Marinated Chicken Wings,Farm Boy Organic Steel Cut Oats 1 kg,President's Choice Dark Roast Instant & Microground Coffee,"President's Choice Salsa, Fresh Mild"
Master Baker Almond Rounds,Compliments Organic Baby Food Purée Apple Carrot & Butternut Squash & Chia Seeds 128 ml,,,
No Name Assorted Cream Bars,President's Choice Mini Ham and Cheese Cubano Bites,GoGo squeez Fruit Sauce 12 Pouches,,
Cool Runnings Coconut Water With Pulp Jelly 500 ml (can),President's Choice Gluten Free Homestyle Waffles,Crown Crown Corn Syrup,Jakeman's Pure Maple Syrup,President's Choice Cranberry Ginger Ale
"Aroy D Aroy-D, Green Curry",Purple Eggplants,PC Organics Organic Thyme,Olivia Lobster Claw & Arms,
PC Black Label Tri-Color Spaghetti,Butterball Boneless Stuffed Turkey Ball Frozen,,,
"Hellmanns Mayonnaise for sandwiches, salads, and burgers Real gluten-free and kosher",Marcangelo Hot Italian Sausage,Knorr Sidekicks Butter & Herb Rice & Vermicelli Side Dis,Chosen Foods Avocado Oil Spray,President's Choice Riced Ready Veggie California Blend
PC Blue Menu Caesar Salad Dressing,Great Lakes Octopus Wants To Fight IPA,Croissant Plain Mini 10 Pack,Simply Pulp Free Orange Juice,Catelli Garden Select Tomato & Basil Pasta Sauce
President's Choice 100% Cranberry & Pomegranate Juice Blend,,,,
President's Choice Rich & Creamy Egg Nog Chocolate,Kelloggs Special K Vanilla Almond Family Size Cereal,,,
Olivia Lobster Claw & Arms,Silk Gluten-Free Beverage Almond & Coconut Unsweetened 1.89 L,Made Good Mornings Chocolate Chip Soft Baked Oat Bars,Oasis Strawberry Banana Juice Boxes,
"President's Choice Strawberries, Raspberries, Blackberries & Blueberries 4-Berry Blend, Club Size",,,,
Fontaine Sante Traditional Hummus,Concord Roasted Potato Seasoning Mix,,,
8' Black Forest Cake,Italpasta Fusilli,"Nescafe Coffee, GOLD ORIGINS Colombia  Capsules",Blue Dragon General Tao Stir Fry Sauce,"Dabur Juice, Green Mango"
Allen's Cranberry Raspberry Cocktail,Farmer's Market Carrot Chips,Janes Turkey Burgers,,
President's Choice Dark Chocolate Peppermint Candy Hot Cocoa Mix,,,,
Grace Ackees In Salt Water,,,,
"Marcangelo Italian Sausages, Hot",,,,
"Coca-Cola Zero Sugar Cherry, 12 pack",President's Choice Cola,No Name Whole Kernel Corn,Inca's Gold Quinoa Organic Black,Lindt Lindor Milk Chocolate
Shreddies Shreddies Cereal Original Jumbo,Kosa Baby Corn Cut In Brine,Nutiva Organic Virgin Coconut Oil,Liberte Greek Lemon 2% MF Yogurt,
Sealtest 1% Milk,,,,
Pataks Butter Chickpeas Ready to Eat,,,,
Burnbrae Farms Naturegg Simply Egg Whites,Hazelnut Pieces 100% Alpine Milk Chocolate,No Name Hot Dog Buns,"Betty Crocker Cookie Mix, Chocolate Chip, 22 Servings",
Potato Baking Tray,Sausages,Pataks Tikka Masala Curry Paste,"Hellmanns Mayonnaise condiment for salads, burgers, gluten-free, kosher",Bean Sprouts
Liberte Yogourt Black Cherry 9 % M.F.,President's Choice Low Sodium Club Soda,Northumberland 2% Chocolate Milk,,
"Coca-Cola Diet , Bottle",Pure Leaf Raspberry Iced Tea,Arm & Hammer Fridge-N-Freezer Baking Soda,,
MDH Chicken Curry Masala,Brar's Desi Ghee,,,
Frooti Mango Juice,Oreo Original Chocolate Sandwich Cookies,Peace Tea Razzleberry,Marys Crackers Organic Original,
"Plain Pork Kebab, 2-Pack",CAVENDISH FARMS Restaurant Style Pub Fries,,,
Gatorade GFIT Citrus Berry,Bud Light Beer,Premier Wild Crab Blue Swimming Crab Meat,Wonder Whole Wheat Hot Dog Rolls,Chicken Tomato Basil Sausage
Voortman Fudge Striped Shortbread,,,,
PopCorners Sweet & Salty Kettle Corn Style Flavoured Popped-Corn Chips 142g,Moosehead Beer,President's Choice World Of Flavours Greek Seasoned Pork Loin Chops,Lakewood Organic Pineapple 100% Fruit Juice & Puree,Buttercup Squash
McCormicks Original Seasoning,,,,
PC Blue Menu Taco Seasoning Mix,Kraft Thousand Island Dressing,Rudolphs Rye Bread,"Budweiser Beer, Cans",President's Choice Gluten Free Pancake Mix
McCain Crinkle Cut French Fries,President's Choice Cream First Vanilla Ice Cream with Chocolate Fudge Crackle,"Popsicle Cyclone Cherry, Lemon & Blue Raspberry Ice Pops",,
"Caramel Apple Pie, 8 Inch",two-bite Christmas Mini Cupcakes Chocolate Pack Of 12,,,
Wonder Whole Wheat 10 Wraps,"So Delicious Dairy Free Oat-Based Frozen Dessert, Oatmeal Cookie",,,
"The GFB Gluten Free Bites, Dark Chocolate Coconut",,,,
"Stubb's BBQ Sauce, Sweet Heat",,,,
"Lee Kum Kee Dressing, Sriracha Mayonnaise",Prana Kilimanjaro Organic Deluxe Chocolate Trail Mix,Sapporo Black Lager,Haagen Dazs Vanilla Swiss Almond,"Biosteel Sports Drink, White Freeze"
Activia Probiotic Yogurt Vanilla 2.9% M.F.,No Name Fruit Cocktail In Water,"PC Black Label Triangoli, Porcini Mushroom with Truffle",Pam Cooking Spray with Olive Oil,Reddi Bulk Roasted Salted Blanched Peanuts
President's Choice Chai Black Tea,Silk Dairy-Free Plant Based Oat Beverage Dark Chocolate 1.75 L,Castello Brie With Chili Cheese Extra Creamy 39% M.F.,,
Mori-Nu Gluten-Free Tofu Firm 349 g,No Name Beef Bouillon Concentrate,President's Choice Butternut Squash Chunks,"Yoso Cultured Coconut Yogurt, Vanilla","President's Choice Memories Of Hong Kong Soy, Sesame & Ginger Sauce"
Bud Light Can,Mr Donair Bonte Donair Sauce,President's Choice Sea Salt and Malt Vinegar Haddock Bites,,
Old Dutch Potato Chips All Dressed Flavoured Limited Time Economy Pack,President's Choice Butter Chicken,"Club House Dry Sauce Mix, Chicken Gravy",Lactantia Ultrapūr Dairy Product 0% M.F.,Campbell's Condensed Soup Vegetable
Twisted Tea Boisson,President's Choice Pure Strawberry Jam,PC Blue Menu Multigrain English Muffins,Pumpernickel Snack,No Name Unbleached All-Purpose Flour
Country Harvest Seeds and Grains Bread,,,,
LA FOURNEE DOREE Sliced Brioche Bread,,,,
7Up Soda Mini,,,,
President's Choice Diet Cola,,,,
Club House Organic Rosemary Leaves,PC Splendido Antipasto Misto,Heinz Tomato Ketchup,Kawartha Salty Caramel Truffle Ice Cream,"Clover Leaf White Tuna, Flaked Albacore In Water"
Breyers Chocolate Ice Cream made with fresh cream and rich cocoa,Stafford Beef Gravy Mix,,,
Sardo Grilled Forest Mushrooms,Tostitos Salsa - Medium 645ml,"Coca-Cola Zero Sugar, 12 pack",,
President's Choice Pico De Gallo Mild Salsa,,,,
"Earths Own Oat Beverage, Chocolate",Farmer's Market Unsalted Roasted Sunflower Seeds,Seaquest King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting,Lotus Root,
LA PETITE BRETONNE Grandma Molasses Cookies,,,,
Tang Orange Liquid Drink Mix,Chanterelle Mushrooms,,,
Pataks Tikka Masala Curry Paste,"All Butter Croissants, 2 Pack",,,
Starbucks Caramel Macchiato Liquid Coffee Enhancer,"Ferrero Grand Assortment, 12-Pieces","PC Organics Organic Fresh Churned Butter, Unsalted",,
Clark Old Fashioned Beans with Pork,President's Choice Free From Rosemary and Garlic Frenched Rack Australian Lamb,President's Choice Original Lemonade,Suraj Aged Basmati Rice,Lobster Tail 2-3 Oz Frozen (1 Ea)
Fontaine Sante Spreadable Tofu,Frenchs Bold & Spicy Deli Mustard,Tingly Ted's Xtra Hot Sauce,,
Oikos Maple Syrup 2% M.F. Greek Yogurt,,,,
ACE Sesame Baguette,Beer,,,
"Sesame Egg Bread, Sliced",Hershey's Dark Chocolate Peppermint Patties,"Minute Maid Frozen Concentrate Orange Juice, Can",President's Choice Mayonnaise,Kraft BBQ Sauce with Garlic
CAVENDISH FARMS Cavendish Farms Simply Homestyle Straight Cut Fries (750 G),"Seaquest Sole Fillets, Skinless Boneless",Trudeau Garlic & Fresh Herbs Pesto,,
Black Diamond Cheese Sauce 4 Cheese,Orville Gourmet Popcorn Simply Salted,,,
Holiday Canned Luncheon Meat,Snackpack Snack Pack Pudding Gel Lemon Lime,Diana In Light Syrup Fruit Cocktail,Knorr Chicken Bouillon,Coca-Cola Coffee Dark Blend
Campbell's Homestyle Chicken Noodle Condensed Soup,,,,
President's Choice Light Roast Instant Coffee,Celestial Seasonings Peppermint Herbal Tea,,,
President's Choice Angus Roast Beef,,,,
Burnbrae Farms Egg Bites Pizza Mini,Mom's Best Taralli Original,Black Diamond Cheddar White Old,Lightlife Smart Bacon Plant-Based Vegan Bacon Strips,
Becel Margarine Original,Rougemont 100% Pure McIntosh Apple Juice,Native Organic Cane Sugar,,
No Name Mandarin Oranges in Light Syrup,Dare Bear Paws Molasses Cookies,,,
Ritter Sport Dark Chocolate with Marzipan,Elan Organic Sunflower Seeds,,,
"No Name Fully Cooked, Breaded Chicken Nuggets Cutlettes",G Hughes Smokehouse Sugar Free Thai Chili Wing Sauce,"Dempster New England Hot Dog White Buns, 12 Pack",Annie's Vegan Mac Macaroni & Sauce Sweet Potato Pumpkin Shells,No Name Naturally Imperfect Lemons 3lb Bag
Schneider Small Batch Oven Roasted Ham,Simply Organic Whole Black Peppercorns,Snapple Kiwi Strawberry,"Amys Organic Soup, Vegetable Barley",PC Blue Menu Ruby Red Grapefruit Cocktail
Cauliflower Florets Multi-Colour Pack,,,,
"No Name Chicken Burger, Club Pack","Powerade Electrolyte Beverage, Orange, Bottle","Betty Crocker Fruit Snacks, Animated Edition",Twinings 20ct Chai,No Name Blueberries
